Le Petit Prince,Antoine de Saint-Exupery,Français,Narratif,Fiction
Les Misérables,Victor Hugo,Français,Roman,Drame
Madame Bovary,Gustave Flaubert,Français,Roman,Tragique
L'Etranger,Albert Camus,Français,Philosophique,Existentialisme
Candide,Voltaire,Français,Satire,Philosophie
Notre-Dame de Paris,Victor Hugo,Français,Roman,Historique
Les Fleurs du mal,Charles Baudelaire,Français,Poésie,Symbolisme
Le Rouge et le Noir,Stendhal,Français,Roman,Psychologique
A la recherche du temps perdu,Marcel Proust,Français,Roman,Classique
Le Père Goriot,Honoré de Balzac,Français,Roman,Réalisme
Bel-Ami,Guy de Maupassant,Français,Roman,Réalisme
Cyrano de Bergerac,Edmond Rostand,Français,Théâtre,Comédie dramatique
L'Ile mystérieuse,Jules Verne,Français,Aventure,Science-fiction
Les Trois Mousquetaires,Alexandre Dumas,Français,Roman,Aventure
La Peste,Albert Camus,Français,Roman,Philosophique
Germinal,Emile Zola,Français,Roman,Naturaliste
Le Comte de Monte-Cristo,Alexandre Dumas,Français,Roman,Aventure
La Condition humaine,André Malraux,Français,Philosophique,Roman
L'Education sentimentale,Gustave Flaubert,Français,Roman,Romantique
Thérèse Raquin,Emile Zola,Français,Roman,Naturaliste
Le Horla,Guy de Maupassant,Français,Fantastique,Nouvelles
Jacques le Fataliste,Denis Diderot,Français,Philosophique,Roman
Phèdre,Jean Racine,Français,Théâtre,Tragédie
Ruy Blas,Victor Hugo,Français,Théâtre,Drame romantique
La Chartreuse de Parme,Stendhal,Français,Roman,Romantique
La Princesse de Clèves,Madame de La Fayette,Français,Roman,Historique
Le Jeu de l'amour et du hasard,Marivaux,Français,Théâtre,Comédie
Dom Juan,Molière,Français,Théâtre,Tragédie comique
Les Caractères,Jean de La Bruyère,Français,Essai,Moraliste
La Promesse de l'aube,Romain Gary,Français,Roman,Autobiographique
